sf,hr,tempo
2.2850000000000015,60.0,130
2.5000000000000013,60.0,130
2.4450000000000016,60.0,130
2.530000000000002,60.0,130
2.4750000000000023,60.0,130
2.260000000000002,60.0,130
2.425000000000002,60.0,130
2.4750000000000023,60.0,130
2.495000000000002,60.0,130
2.5450000000000017,60.0,150
2.4800000000000018,60.0,150
2.4750000000000023,60.0,150
2.5000000000000013,60.0,150
2.2300000000000018,60.0,150
2.495000000000002,60.0,150
2.2600000000000016,60.0,150
2.0150000000000015,60.0,150
2.285000000000001,60.0,170
2.540000000000002,60.0,170
2.0250000000000012,60.0,170
2.5550000000000015,60.0,170
2.5050000000000017,60.0,170
2.5450000000000013,60.0,170
2.530000000000002,60.0,170
2.5500000000000016,60.0,170
2.620000000000002,60.0,170
2.4800000000000018,60.0,170
2.5000000000000013,60.0,170
2.5250000000000012,60.0,170
2.465000000000002,60.0,170
2.5050000000000017,60.0,130
2.485000000000002,60.0,130
2.055000000000001,60.0,130
2.495000000000002,60.0,130
2.4800000000000018,60.0,130
2.5000000000000013,60.0,130
2.4800000000000018,60.0,130
2.5450000000000017,60.0,130
2.485000000000002,60.0,130
2.5000000000000013,60.0,170
2.5450000000000017,60.0,170
2.5150000000000015,60.0,170
2.245000000000002,60.0,170
2.4850000000000017,60.0,170
2.5050000000000017,60.0,170
2.450000000000002,60.0,170
2.2500000000000013,60.0,170
2.5050000000000017,60.0,170
2.5150000000000015,60.0,170
2.490000000000001,60.0,150
2.280000000000001,60.0,150
2.520000000000002,60.0,150
1.9350000000000016,60.0,150
1.9850000000000017,60.0,150
2.2300000000000018,60.0,150
2.5700000000000016,60.0,150
2.5750000000000015,60.0,150
2.5300000000000016,60.0,150
2.5500000000000016,60.0,150
2.495000000000002,60.0,130
2.5550000000000015,60.0,130
2.4750000000000014,60.0,130
2.540000000000002,60.0,130
2.4850000000000017,60.0,130
2.465000000000002,60.0,130
2.4700000000000015,60.0,130
2.5100000000000016,60.0,130
2.5150000000000015,60.0,130
2.5400000000000014,60.0,130
2.245000000000002,60.0,150
2.5300000000000016,60.0,150
2.5350000000000015,60.0,150
2.5250000000000012,60.0,150
2.5450000000000017,60.0,150
2.240000000000001,60.0,150
2.5500000000000016,60.0,150
2.555000000000002,60.0,150
2.0500000000000016,60.0,150
2.5250000000000012,60.0,170
2.5300000000000016,60.0,170
2.5250000000000012,60.0,170
2.2550000000000012,60.0,170
2.2950000000000013,60.0,170
2.535000000000001,60.0,170
2.495000000000002,60.0,170
2.245000000000002,60.0,170
2.280000000000001,60.0,170
